1577880000	2850
1580558400	5035
1583064000	3025
1585742400	4503
1588334400	6504
1591012800	5840
1593604800	6340
1596283200	3204
1597121452	129
1597432075	16
1597432075	16
1597432256	16
1597432413	16
1597434370	24
1597434394	24
1597434394	24
1597431975	8
1597445634	8
1597445634	8
1597467466	16
1597464398	24
1597464404	440
1597464598	204
1597464632	120
1597464682	24
1597464754	4
1597464756	24
1597464771	24
1597464775	4
1597464825	24
1597464831	12
1597464872	24
1597464876	12
1597464883	12
1597464967	3
1597464970	24
1597464974	23
1597464980	12
1597464983	24
1597464987	33
1597464988	24
1597465570	24
1597465572	24
1597465573	24
1597465614	16
1597465701	4
1597465702	4
1597465703	4
1597465709	4
1597465882	24
1597465889	12
1597465948	24
1597465950	16
1597465983	24
1597465988	24
1597465994	12
1597466015	24
1597466054	24
1597466055	16
1597466070	24
1597466072	24
1597466077	16
1597466143	24
1597466155	16
1597466160	10
1597466143	24
1597466155	16
1597466160	10
